test,energy_j,wall_s,n_raw
FixTimestep_addtorque_variable,126.782,6.940505,1
FixTimestep_aveforce_const,114.136,6.733951,1
FixTimestep_aveforce_variable,120.189,6.847278,1
FixTimestep_brownian,114.657,6.718533,1
FixTimestep_deform,119.733,6.813501,1
FixTimestep_deform_noremap,116.514,6.774309,1
FixTimestep_deform_tri,114.542,6.752767,1
FixTimestep_drag,115.098,6.73508,1
FixTimestep_efield_const,114.427,6.811063,1
FixTimestep_efield_dipole_const,113.995,6.755125,1
FixTimestep_efield_dipole_variable,108.694,6.64923,1
FixTimestep_efield_lepton,116.938,7.209607,1
FixTimestep_efield_lepton_region,125.902,7.338488,1
FixTimestep_efield_region_block,114.692,6.76627,1
FixTimestep_efield_region_sphere,114.357,6.757701,1
FixTimestep_efield_tip4p_const,115.146,6.796058,1
FixTimestep_efield_tip4p_variable,108.687,6.65489,1
FixTimestep_efield_variable,120.699,6.817428,1
FixTimestep_gravity,123.045,6.910967,1
FixTimestep_heat,123.051,6.970781,1
FixTimestep_heat_region,114.373,6.75635,1
FixTimestep_lineforce,118.305,6.802698,1
FixTimestep_momentum,120.116,6.811493,1
FixTimestep_momentum_chunk,117.796,6.846606,1
FixTimestep_move_linear,118.524,6.838667,1
FixTimestep_move_rotate,119.909,6.85352,1
FixTimestep_move_transrot,119.995,6.817483,1
FixTimestep_move_variable,115.984,6.84499,1
FixTimestep_move_wiggle,115.976,6.826824,1
FixTimestep_nph,122.238,6.901627,1
FixTimestep_nph_sphere,117.477,6.80745,1
FixTimestep_npt_aniso,127.299,6.926913,1
FixTimestep_npt_iso,126.917,6.963533,1
FixTimestep_npt_sphere_aniso,115.793,6.854597,1
FixTimestep_npt_sphere_iso,115.159,6.749645,1
FixTimestep_npt_sphere_tri,122.118,6.914119,1
FixTimestep_npt_tri,127.398,7.016733,1
FixTimestep_nve,123.016,6.87872,1
FixTimestep_nve_limit,111.707,6.744582,1
FixTimestep_nve_noforce,115.124,6.793873,1
FixTimestep_nve_sphere,120.666,6.847019,1
FixTimestep_nve_sphere_dipole,120.71,6.900284,1
FixTimestep_nve_sphere_dipole_dlm,120.456,6.888367,1
FixTimestep_nvt,127.382,6.953852,1
FixTimestep_nvt-psllod,120.156,6.822285,1
FixTimestep_nvt-sllod,120.646,6.944979,1
FixTimestep_nvt_drag,126.874,6.929671,1
FixTimestep_nvt_mtk,121.036,6.804874,1
FixTimestep_nvt_sphere,118.241,6.810839,1
FixTimestep_oneway,117.273,6.80363,1
FixTimestep_planeforce,115.18,6.817775,1
FixTimestep_press_berendsen_iso,118.691,6.804336,1
FixTimestep_python_move_nve,121.162,6.921527,1
FixTimestep_rattle_angle,112.485,6.716794,1
FixTimestep_rattle_bond,112.423,6.766751,1
FixTimestep_recenter-coords,122.39,6.905952,1
FixTimestep_recenter-init,115.44,6.735893,1
FixTimestep_recenter-null,127.152,6.998698,1
FixTimestep_restrain,116.077,6.819694,1
FixTimestep_rigid_group,115.625,6.778589,1
FixTimestep_rigid_molecule,121.263,7.029065,1
FixTimestep_rigid_molecule_tri,121.41,6.94467,1
FixTimestep_rigid_nph,120.742,6.829531,1
FixTimestep_rigid_nph_small,115.888,6.772291,1
FixTimestep_rigid_npt,127.114,7.100749,1
FixTimestep_rigid_npt_small,117.363,6.795844,1
FixTimestep_rigid_nve_group,119.765,6.74692,1
FixTimestep_rigid_nve_molecule,116.748,6.806339,1
FixTimestep_rigid_nve_single,138.191,7.160208,1
FixTimestep_rigid_nve_small,111.085,6.696674,1
FixTimestep_rigid_nvt,117.511,6.827062,1
FixTimestep_rigid_nvt_small,118.057,6.817864,1
FixTimestep_rigid_single,127.399,6.99359,1
FixTimestep_rigid_small,129.671,7.041419,1
FixTimestep_setforce_const,126.007,6.950941,1
FixTimestep_setforce_region_block,126.449,6.961773,1
FixTimestep_setforce_region_sphere,115.247,6.82456,1
FixTimestep_setforce_variable,126.168,6.97231,1
FixTimestep_shake_angle,120.713,6.965975,1
FixTimestep_shake_bond,123.383,6.933802,1
FixTimestep_smd_couple,118.697,6.811695,1
FixTimestep_smd_tether,120.02,6.823769,1
FixTimestep_spring_chunk,120.363,6.849007,1
FixTimestep_spring_couple,119.56,6.853415,1
FixTimestep_spring_rg,117.667,6.831323,1
FixTimestep_spring_self,117.364,6.858181,1
FixTimestep_spring_self_atom,125.956,6.951564,1
FixTimestep_spring_self_equal,116.946,6.773821,1
FixTimestep_spring_tether,126.525,6.945232,1
FixTimestep_temp_berendsen,123.088,6.908491,1
FixTimestep_temp_csld,118.361,6.791908,1
FixTimestep_temp_csvr,128.991,7.046694,1
FixTimestep_temp_rescale,117.243,6.785292,1
FixTimestep_wall_harmonic_const,116.944,6.843211,1
FixTimestep_wall_lepton_const,125.946,6.947462,1
FixTimestep_wall_lj1043_const,118.604,6.809785,1
FixTimestep_wall_lj126_const,117.089,6.802303,1
FixTimestep_wall_lj93_const,114.917,6.809169,1
FixTimestep_wall_morse_const,118.803,6.797733,1
FixTimestep_wall_reflect,129.698,6.986343,1
FixTimestep_wall_region_harmonic,129.471,7.029937,1
FixTimestep_wall_region_lj1043,119.605,6.848198,1
FixTimestep_wall_region_lj126,121.15,6.857112,1
FixTimestep_wall_region_lj93,117.113,6.830663,1
FixTimestep_wall_region_morse,117.27,6.82286,1
FixTimestep_wall_region_sphere,114.442,6.771151,1
FixTimestep_wall_table_linear,120.256,6.905653,1
FixTimestep_wall_table_spline,120.677,6.785406,1
FmtLib,43.198,5.960618,1
Groups,119.834,6.832403,1
ImageFlags,201.728,9.591003,1
ImproperStyle_class2,120.627,6.912151,1
ImproperStyle_cossq,123.129,6.914001,1
ImproperStyle_cvff,125.961,6.949501,1
ImproperStyle_distance,123.617,6.998859,1
ImproperStyle_distharm,127.33,6.980638,1
ImproperStyle_fourier,123.48,6.936962,1
ImproperStyle_harmonic,129.364,7.039531,1
ImproperStyle_hybrid,126.225,6.933484,1
ImproperStyle_inversion_harmonic,123.124,6.897856,1
ImproperStyle_ring,126.031,7.011328,1
ImproperStyle_sqdistharm,124.25,6.84875,1
ImproperStyle_umbrella,129.709,7.050769,1
ImproperStyle_zero,119.76,6.800271,1
InputClass,109.81,6.660817,1
InputConvert,215.858,9.39995,1
InvalidFlag,374.818,9.1681,1
JSON,34.319,5.732392,1
KSpaceStyle_ewald,981.564,23.801848,1
KSpaceStyle_ewald_conp_charge,743.074,19.161594,1
KSpaceStyle_ewald_dipole,919.14,22.703916,1
KSpaceStyle_ewald_disp,807.344,20.404361,1
KSpaceStyle_ewald_disp_dipole,847.538,21.205505,1
KSpaceStyle_ewald_electrode_slab,841.864,21.030737,1
KSpaceStyle_ewald_nozforce,797.328,20.510091,1
KSpaceStyle_ewald_slab,673.626,18.064503,1
KSpaceStyle_ewald_tilted,941.083,23.024244,1
KSpaceStyle_ewald_tri,784.483,20.033434,1
KSpaceStyle_msm,1081.972,25.822726,1
KSpaceStyle_msm_cg,1260.828,29.124449,1
KSpaceStyle_msm_dielectric,793.752,20.157846,1
KSpaceStyle_msm_nopbc,931.301,22.961171,1
KSpaceStyle_pppm,683.911,18.178351,1
KSpaceStyle_pppm_ad,965.204,23.626737,1
KSpaceStyle_pppm_cg,131.545,7.027049,1
KSpaceStyle_pppm_cg_ad,134.54,7.433246,1
KSpaceStyle_pppm_cg_tiled,138.329,7.133953,1
KSpaceStyle_pppm_conp_charge,367.069,11.710464,1
KSpaceStyle_pppm_dielectric,126.324,6.88468,1
KSpaceStyle_pppm_dipole,718.307,18.520204,1
KSpaceStyle_pppm_disp,397.017,12.396039,1
KSpaceStyle_pppm_disp_ad,594.864,16.015587,1
KSpaceStyle_pppm_disp_ad_only,134.466,7.09194,1
KSpaceStyle_pppm_disp_dielectric,280.642,10.258611,1
KSpaceStyle_pppm_disp_only,121.708,7.159998,1
KSpaceStyle_pppm_disp_tip4p,384.277,12.047135,1
KSpaceStyle_pppm_electrode_slab,121.949,7.274025,1
KSpaceStyle_pppm_nozforce,137.165,7.121952,1
KSpaceStyle_pppm_slab,122.572,7.298854,1
KSpaceStyle_pppm_stagger,280.043,10.049671,1
KSpaceStyle_pppm_stagger_tiled,319.62,10.82542,1
KSpaceStyle_pppm_tiled,137.195,7.068743,1
KSpaceStyle_pppm_tilted,124.927,7.594198,1
KSpaceStyle_pppm_tip4p,136.504,7.059035,1
KSpaceStyle_pppm_tip4p_ad,135.407,7.471824,1
KSpaceStyle_pppm_tip4p_nozforce,136.652,7.060625,1
KSpaceStyle_pppm_tip4p_slab,121.294,7.202071,1
KSpaceStyle_pppm_tri,137.422,7.167358,1
KSpaceStyle_scafacos_direct,108.667,6.658902,1
KSpaceStyle_scafacos_ewald,108.692,6.6322,1
KSpaceStyle_scafacos_fmm,114.32,6.699258,1
KSpaceStyle_scafacos_fmm_tuned,108.885,6.751004,1
KSpaceStyle_scafacos_p2nfft,108.455,6.696661,1
KimCommands,111.333,6.739826,1
Labelmap,109.01,6.660411,1
LammpsClass,108.448,6.651767,1
LatticeRegion,124.429,6.88758,1
Lepton,136.725,7.635429,1
LibraryCommands,111.191,6.67223,1
LibraryConfig,115.139,6.735037,1
LibraryExternal,111.725,6.707666,1
LibraryMPI,126.714,6.947846,1
LibraryObjects,108.549,6.626233,1
LibraryOpen,115.139,6.739681,1
LibraryProperties,123.777,7.255811,1
LibraryScatterGather,120.25,6.830274,1
LmpType,34.261,5.685871,1
MPILoadBalancing,125.302,6.903684,1
ManybodyPairStyle_airebo,3918.094,43.230611,1
ManybodyPairStyle_airebo_00,1321.432,21.8301,1
ManybodyPairStyle_airebo_m,2097.559,28.021258,1
ManybodyPairStyle_airebo_m00,1640.94,21.174435,1
ManybodyPairStyle_bop,2650.794,31.83524,1
ManybodyPairStyle_bop_save,568.56,11.103796,1
ManybodyPairStyle_comb,1034.886,15.325248,1
ManybodyPairStyle_comb3,1004.566,15.383507,1
ManybodyPairStyle_dispersion_d3,631.093,11.906051,1
ManybodyPairStyle_drip,1130.399,16.418021,1
ManybodyPairStyle_drip_real,1412.236,17.586435,1
ManybodyPairStyle_edip_multi,794.415,12.98224,1
ManybodyPairStyle_extep,818.055,12.725821,1
ManybodyPairStyle_gw,685.468,11.390746,1
ManybodyPairStyle_gw_zbl,831.172,12.802641,1
ManybodyPairStyle_ilp-graphene-hbn,1025.16,15.999289,1
ManybodyPairStyle_ilp-graphene-hbn_notaper,1672.23,21.232552,1
ManybodyPairStyle_kolmogorov_crespi_full,1224.929,16.902365,1
ManybodyPairStyle_kolmogorov_crespi_full_notaper,1386.275,19.185462,1
ManybodyPairStyle_kolmogorov_crespi_z,682.715,12.933868,1
ManybodyPairStyle_lcbop,744.382,13.384648,1
ManybodyPairStyle_lebedeva_z,562.445,10.788983,1
ManybodyPairStyle_meam,656.791,11.586474,1
ManybodyPairStyle_meam_2nn,1139.332,16.430633,1
ManybodyPairStyle_mliap_nn,584.865,10.594016,1
ManybodyPairStyle_mliap_snap_chem,1029.184,14.452313,1
ManybodyPairStyle_mliap_snap_linear,668.958,11.20867,1
ManybodyPairStyle_mliap_snap_quadratic,932.557,13.417026,1
ManybodyPairStyle_mliap_so3,1012.215,14.678816,1
ManybodyPairStyle_nb3b_harmonic,701.071,11.971099,1
ManybodyPairStyle_pace_product,1336.578,17.16588,1
ManybodyPairStyle_pace_recursive,1212.305,17.461878,1
ManybodyPairStyle_pod,584.281,11.549812,1
ManybodyPairStyle_polymorphic_sw,735.737,12.420308,1
ManybodyPairStyle_polymorphic_tersoff,820.3,13.572735,1
ManybodyPairStyle_quip-sw,583.657,10.818657,1
ManybodyPairStyle_rann,1116.765,15.466805,1
ManybodyPairStyle_rebo,972.561,14.929822,1
ManybodyPairStyle_rebomos,1001.348,15.277052,1
ManybodyPairStyle_snap,766.083,12.593494,1
ManybodyPairStyle_snap_chem,1122.948,15.420004,1
ManybodyPairStyle_sw,816.474,13.55094,1
ManybodyPairStyle_sw-mod-maxdelcs,913.569,13.802177,1
ManybodyPairStyle_sw-mod-multi,796.587,13.588042,1
ManybodyPairStyle_sw-multi,685.897,12.690728,1
ManybodyPairStyle_sw_twobody,770.226,12.464338,1
ManybodyPairStyle_sw_twothree,574.423,10.366404,1
ManybodyPairStyle_tersoff,622.135,11.665068,1
ManybodyPairStyle_tersoff_mod,605.058,11.841384,1
ManybodyPairStyle_tersoff_mod_c,717.868,12.596062,1
ManybodyPairStyle_tersoff_mod_c_shift,743.006,12.697546,1
ManybodyPairStyle_tersoff_mod_shift,659.008,12.215736,1
ManybodyPairStyle_tersoff_shift,648.859,11.643039,1
ManybodyPairStyle_tersoff_table,867.785,12.937057,1
ManybodyPairStyle_tersoff_zbl,820.377,12.563899,1
ManybodyPairStyle_tersoff_zbl_shift,855.842,12.962603,1
ManybodyPairStyle_uf3,697.076,12.584881,1
ManybodyPairStyle_vashishta,711.751,11.733494,1
ManybodyPairStyle_vashishta_table,679.276,12.314541,1
MathEigen,34.278,5.710427,1
MemPool,45.904,6.089991,1
MolPairStyle_beck,123.969,6.964823,1
MolPairStyle_born,129.532,7.01301,1
MolPairStyle_born_coul_dsf,121.094,6.865253,1
MolPairStyle_born_coul_dsf_cs,125.986,6.96212,1
MolPairStyle_born_coul_long,125.902,6.947813,1
MolPairStyle_born_coul_long_cs,120.571,6.848809,1
MolPairStyle_born_coul_msm,135.99,7.448464,1
MolPairStyle_born_coul_msm_table,172.848,8.017444,1
MolPairStyle_born_coul_table_cs,125.767,6.928437,1
MolPairStyle_born_coul_wolf,126.643,6.927691,1
MolPairStyle_born_coul_wolf_cs,132.126,7.024992,1
MolPairStyle_buck,128.588,6.97683,1
MolPairStyle_buck_coul_cut,130.181,6.99198,1
MolPairStyle_buck_coul_long,128.402,7.006173,1
MolPairStyle_buck_coul_long_cs,123.532,6.858114,1
MolPairStyle_buck_coul_msm,128.849,7.346661,1
MolPairStyle_buck_coul_msm_table,155.918,7.727464,1
MolPairStyle_buck_coul_table,119.173,7.232513,1
MolPairStyle_buck_coul_table_cs,131.812,7.031536,1
MolPairStyle_buck_long_coul_long,119.542,7.262709,1
MolPairStyle_buck_long_coul_off,128.197,7.007916,1
MolPairStyle_buck_long_cut_coul_long,131.551,7.057762,1
MolPairStyle_buck_mdf,125.498,6.938537,1
MolPairStyle_buck_table_coul_long,119.191,7.200245,1
MolPairStyle_buck_table_coul_off,125.861,7.337362,1
MolPairStyle_buck_table_coul_table,152.249,7.685161,1
MolPairStyle_cosine_squared,126.89,6.936755,1
MolPairStyle_coul_ctip,125.594,6.899287,1
MolPairStyle_coul_cut,126.358,6.977996,1
MolPairStyle_coul_cut_dielectric,123.574,6.905652,1
MolPairStyle_coul_cut_global,128.724,7.020811,1
MolPairStyle_coul_cut_soft,132.722,7.031372,1
MolPairStyle_coul_debye,128.509,6.989337,1
MolPairStyle_coul_diel,125.719,6.924337,1
MolPairStyle_coul_dsf,129.245,7.063427,1
MolPairStyle_coul_exclude,119.426,6.77273,1
MolPairStyle_coul_long,123.21,6.911495,1
MolPairStyle_coul_long_cs,123.831,6.887931,1
MolPairStyle_coul_long_dielectric,121.375,6.878628,1
MolPairStyle_coul_long_soft,128.852,7.058251,1
MolPairStyle_coul_msm,133.405,7.412094,1
MolPairStyle_coul_msm_table,169.716,8.006526,1
MolPairStyle_coul_shield,120.681,6.89642,1
MolPairStyle_coul_slater_cut,120.193,6.815723,1
MolPairStyle_coul_slater_long,122.526,6.899005,1
MolPairStyle_coul_streitz_long,123.362,6.938312,1
MolPairStyle_coul_streitz_wolf,121.026,6.897465,1
MolPairStyle_coul_table,134.697,7.121539,1
MolPairStyle_coul_table_cs,127.965,6.944254,1
MolPairStyle_coul_table_dielectric,126.127,6.978086,1
MolPairStyle_coul_wolf,123.588,6.893368,1
MolPairStyle_coul_wolf_cs,125.865,6.914648,1
MolPairStyle_dpd,129.109,7.005246,1
MolPairStyle_dpd_coul_slater_long,116.683,6.760526,1
MolPairStyle_dpd_ext,126.837,7.014729,1
MolPairStyle_dpd_ext_tstat,123.421,6.883903,1
MolPairStyle_dpd_tstat,117.506,6.787988,1
MolPairStyle_e3b,120.428,6.917075,1
MolPairStyle_gauss,131.433,7.01019,1
MolPairStyle_gauss_cut,125.523,6.932992,1
MolPairStyle_harmonic_cut,126.269,6.964998,1
MolPairStyle_hbond_dreiding_lj,125.786,7.001591,1
MolPairStyle_hbond_dreiding_lj_angleoffset,125.725,6.94403,1
MolPairStyle_hbond_dreiding_morse,123.274,6.914822,1
MolPairStyle_hbond_dreiding_morse_angleoffset,122.385,6.885862,1
MolPairStyle_hybrid,134.25,7.115087,1
MolPairStyle_hybrid-overlay,131.496,7.000301,1
MolPairStyle_hybrid-scaled,120.012,6.864256,1
MolPairStyle_hybrid_molecular,131.306,6.9751,1
MolPairStyle_hybrid_molecular_lj_morse,126.428,6.915107,1
MolPairStyle_hybrid_multiple,137.269,7.14759,1
MolPairStyle_lennard_mdf,120.79,6.8923,1
MolPairStyle_lepton,302.319,10.624662,1
MolPairStyle_lepton_coul,328.473,11.186555,1
MolPairStyle_lepton_coul_long,123.008,7.227447,1
MolPairStyle_lepton_zbl,171.269,7.96692,1
MolPairStyle_lj96_cut,123.305,6.929583,1
MolPairStyle_lj_charmm_coul_charmm,123.519,6.880913,1
MolPairStyle_lj_charmm_coul_charmm_implicit,125.447,6.920071,1
MolPairStyle_lj_charmm_coul_long,132.142,7.067312,1
MolPairStyle_lj_charmm_coul_long_soft,131.508,7.05307,1
MolPairStyle_lj_charmm_coul_msm,149.65,7.727883,1
MolPairStyle_lj_charmm_coul_msm_table,151.741,7.690831,1
MolPairStyle_lj_charmm_coul_table,123.549,7.262028,1
MolPairStyle_lj_charmmfsw_coul_charmmfsw,126.332,6.978485,1
MolPairStyle_lj_charmmfsw_coul_long,125.472,6.94675,1
MolPairStyle_lj_charmmfsw_coul_table,136.62,7.159706,1
MolPairStyle_lj_class2,131.547,7.043328,1
MolPairStyle_lj_class2_coul_cut,125.626,6.926058,1
MolPairStyle_lj_class2_coul_cut_soft,125.554,6.940879,1
MolPairStyle_lj_class2_coul_long,129.402,6.957589,1
MolPairStyle_lj_class2_coul_long_cs,121.348,6.899903,1
MolPairStyle_lj_class2_coul_long_soft,123.579,6.907634,1
MolPairStyle_lj_class2_coul_table,122.348,7.232054,1
MolPairStyle_lj_class2_coul_table_cs,131.56,7.059634,1
MolPairStyle_lj_class2_soft,125.425,6.914835,1
MolPairStyle_lj_cubic,123.622,6.934777,1
MolPairStyle_lj_cut,131.892,7.052759,1
MolPairStyle_lj_cut_coul_cut,126.171,6.957747,1
MolPairStyle_lj_cut_coul_cut_dielectric,126.12,6.959314,1
MolPairStyle_lj_cut_coul_cut_soft,126.031,6.981754,1
MolPairStyle_lj_cut_coul_debye,131.311,7.008714,1
MolPairStyle_lj_cut_coul_debye_dielectric,125.98,6.9146,1
MolPairStyle_lj_cut_coul_dsf,120.624,6.877287,1
MolPairStyle_lj_cut_coul_long,133.928,7.058953,1
MolPairStyle_lj_cut_coul_long_cs,120.486,6.834512,1
MolPairStyle_lj_cut_coul_long_dielectric,125.716,6.920923,1
MolPairStyle_lj_cut_coul_long_soft,128.462,7.065013,1
MolPairStyle_lj_cut_coul_msm,150.423,7.693945,1
MolPairStyle_lj_cut_coul_msm_dielectric,122.562,7.184851,1
MolPairStyle_lj_cut_coul_msm_table,178.392,8.085516,1
MolPairStyle_lj_cut_coul_table,123.013,7.285164,1
MolPairStyle_lj_cut_coul_table_cs,128.482,6.998254,1
MolPairStyle_lj_cut_coul_table_dielectric,136.826,7.139068,1
MolPairStyle_lj_cut_coul_wolf,131.069,7.036106,1
MolPairStyle_lj_cut_dipole_cut,131.572,7.013538,1
MolPairStyle_lj_cut_dipole_long,125.912,6.960034,1
MolPairStyle_lj_cut_soft,126.115,6.965974,1
MolPairStyle_lj_cut_tip4p_cut,127.444,6.994033,1
