run_id,pr_number,changed_lines_mapped,status,coverable_changed_lines,random_energy_to_80cov_J,random_energy_to_90cov_J,random_energy_to_95cov_J,random_energy_to_100cov_J,greedy_cov_per_second_energy_to_80cov_J,greedy_cov_per_second_suite_size_at_80cov,greedy_cov_per_second_energy_to_90cov_J,greedy_cov_per_second_suite_size_at_90cov,greedy_cov_per_second_energy_to_95cov_J,greedy_cov_per_second_suite_size_at_95cov,greedy_cov_per_second_energy_to_100cov_J,greedy_cov_per_second_suite_size_at_100cov,greedy_cov_per_joule_energy_to_80cov_J,greedy_cov_per_joule_suite_size_at_80cov,greedy_cov_per_joule_energy_to_90cov_J,greedy_cov_per_joule_suite_size_at_90cov,greedy_cov_per_joule_energy_to_95cov_J,greedy_cov_per_joule_suite_size_at_95cov,greedy_cov_per_joule_energy_to_100cov_J,greedy_cov_per_joule_suite_size_at_100cov
19441177553,4779,8,ok,8,37726.47956666667,37726.47956666667,37726.47956666667,37726.47956666667,225.589,2.0,225.589,2.0,225.589,2.0,225.589,2.0,220.504,2.0,220.504,2.0,220.504,2.0,220.504,2.0
19434325849,4777,22,ok,22,98413.85886666669,98413.85886666669,98413.85886666669,114448.63686666671,124.345,1.0,124.345,1.0,124.345,1.0,239.547,2.0,124.345,1.0,124.345,1.0,124.345,1.0,238.56099999999998,2.0
19433631637,4776,0,skip_no_changed_lines,0,,,,,,,,,,,,,,,,,,,,
19417888712,4775,6,ok,6,101510.86050000002,101510.86050000002,101510.86050000002,101510.86050000002,139.293,1.0,139.293,1.0,139.293,1.0,139.293,1.0,139.293,1.0,139.293,1.0,139.293,1.0,139.293,1.0
19415348930,4776,0,skip_no_changed_lines,0,,,,,,,,,,,,,,,,,,,,
19413940451,4775,6,ok,6,101510.86050000002,101510.86050000002,101510.86050000002,101510.86050000002,139.293,1.0,139.293,1.0,139.293,1.0,139.293,1.0,139.293,1.0,139.293,1.0,139.293,1.0,139.293,1.0
19412645927,4776,0,skip_no_changed_lines,0,,,,,,,,,,,,,,,,,,,,
19410988801,4775,6,ok,6,101510.86050000002,101510.86050000002,101510.86050000002,101510.86050000002,139.293,1.0,139.293,1.0,139.293,1.0,139.293,1.0,139.293,1.0,139.293,1.0,139.293,1.0,139.293,1.0
19393536387,4664,0,skip_no_changed_lines,0,,,,,,,,,,,,,,,,,,,,
19380872524,154,0,skip_no_changed_lines,0,,,,,,,,,,,,,,,,,,,,
19380386240,4764,0,skip_no_changed_lines,0,,,,,,,,,,,,,,,,,,,,
19379658421,4771,2,ok,2,72673.23026666668,72673.23026666668,72673.23026666668,72673.23026666668,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0
19377363114,4771,2,ok,2,72673.23026666668,72673.23026666668,72673.23026666668,72673.23026666668,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0
19372987995,4771,2,ok,2,72673.23026666668,72673.23026666668,72673.23026666668,72673.23026666668,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0,123.305,1.0
