file,lines_total,lines_hit_any
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/src/APIP/atom_vec_apip.h,1,1
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/src/APIP/fix_atom_weight_apip.h,1,1
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/src/APIP/fix_lambda_apip.h,1,1
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/src/APIP/fix_lambda_thermostat_apip.h,1,1
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/src/APIP/pair_eam_apip.h,1,1
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/src/APIP/pair_eam_fs_apip.h,1,1
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/src/APIP/pair_lambda_input_apip.h,1,1
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/src/APIP/pair_lambda_input_csp_apip.h,1,1
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/src/APIP/pair_lambda_zone_apip.h,1,1
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/src/APIP/pair_pace_apip.h,1,1
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/src/APIP/pair_pace_fast_apip.h,1,1
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/src/APIP/pair_pace_precise_apip.h,1,1
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/src/ASPHERE/compute_erotate_asphere.cpp,78,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/src/ASPHERE/compute_erotate_asphere.h,1,1
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/src/ASPHERE/compute_temp_asphere.cpp,212,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/src/ASPHERE/compute_temp_asphere.h,1,1
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/src/ASPHERE/fix_nh_asphere.cpp,58,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/src/ASPHERE/fix_nph_asphere.cpp,11,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/src/ASPHERE/fix_nph_asphere.h,1,1
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/src/ASPHERE/fix_npt_asphere.cpp,10,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/src/ASPHERE/fix_npt_asphere.h,1,1
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/src/ASPHERE/fix_nve_asphere.cpp,67,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/src/ASPHERE/fix_nve_asphere.h,1,1
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/src/ASPHERE/fix_nve_asphere_noforce.cpp,42,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/src/ASPHERE/fix_nve_asphere_noforce.h,1,1
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/src/ASPHERE/fix_nve_line.cpp,77,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/src/ASPHERE/fix_nve_line.h,1,1
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/src/ASPHERE/fix_nve_tri.cpp,74,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/src/ASPHERE/fix_nve_tri.h,1,1
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/src/ASPHERE/fix_nvt_asphere.cpp,7,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/src/ASPHERE/fix_nvt_asphere.h,1,1
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/src/ASPHERE/pair_gayberne.cpp,561,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/src/ASPHERE/pair_gayberne.h,1,1
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/src/ASPHERE/pair_line_lj.cpp,276,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/src/ASPHERE/pair_line_lj.h,1,1
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/src/ASPHERE/pair_resquared.cpp,579,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/src/ASPHERE/pair_resquared.h,1,1
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/src/ASPHERE/pair_tri_lj.cpp,370,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/src/ASPHERE/pair_tri_lj.h,1,1
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/src/ASPHERE/pair_ylz.cpp,274,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/src/ASPHERE/pair_ylz.h,1,1
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/src/BOCS/compute_pressure_bocs.cpp,214,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/src/BOCS/compute_pressure_bocs.h,1,1
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/src/BOCS/fix_bocs.cpp,1399,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/src/BOCS/fix_bocs.h,1,1
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/src/BODY/body_nparticle.cpp,172,119
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/src/BODY/body_nparticle.h,1,1
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/src/BODY/body_rounded_polygon.cpp,253,0
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/src/BODY/body_rounded_polygon.h,1,1
/scratch/projects/anklesan/energy_aware_testing/GithubLammps/lammps/src/BODY/body_rounded_polyhedron.cpp,320,0
