run_id,pr_number,changed_lines_mapped,coverable_changed_lines,max_change_cov,pareto_points,status,energy_j_at_80pct,suite_size_at_80pct,energy_j_at_90pct,suite_size_at_90pct,energy_j_at_95pct,suite_size_at_95pct
12934558587,4440,35,35,1.0,1,ok,26336.753000000004,168.0,26336.753000000004,168.0,26336.753000000004,168.0
12934262079,4440,35,35,1.0,1,ok,26336.753000000004,168.0,26336.753000000004,168.0,26336.753000000004,168.0
12933820737,4453,48,48,1.0,2,ok,27165.782,162.0,27165.782,162.0,27165.782,162.0
12933685165,4442,172,172,1.0,2,ok,31994.823,200.0,31994.823,200.0,31994.823,200.0
12933618439,4440,35,35,1.0,1,ok,26336.753000000004,168.0,26336.753000000004,168.0,26336.753000000004,168.0
12933141609,4213,112,112,1.0,1,ok,28867.869,170.0,28867.869,170.0,28867.869,170.0
12932066037,4440,35,35,1.0,1,ok,26336.753000000004,168.0,26336.753000000004,168.0,26336.753000000004,168.0
12931696247,4440,35,35,1.0,1,ok,26336.753000000004,168.0,26336.753000000004,168.0,26336.753000000004,168.0
12927765624,4440,35,35,1.0,1,ok,26336.753000000004,168.0,26336.753000000004,168.0,26336.753000000004,168.0
12926822205,4440,35,35,1.0,1,ok,26336.753000000004,168.0,26336.753000000004,168.0,26336.753000000004,168.0
12925429550,4442,172,172,1.0,2,ok,31994.823,200.0,31994.823,200.0,31994.823,200.0
12925410762,4401,10,10,1.0,1,ok,24783.57,175.0,24783.57,175.0,24783.57,175.0
12923206380,4442,172,172,1.0,2,ok,31994.823,200.0,31994.823,200.0,31994.823,200.0
12918910096,4440,35,35,1.0,1,ok,26336.753000000004,168.0,26336.753000000004,168.0,26336.753000000004,168.0
12918660894,4440,35,35,1.0,1,ok,26336.753000000004,168.0,26336.753000000004,168.0,26336.753000000004,168.0
12917322921,4440,35,35,1.0,1,ok,26336.753000000004,168.0,26336.753000000004,168.0,26336.753000000004,168.0
12903114288,4401,10,10,1.0,1,ok,24783.57,175.0,24783.57,175.0,24783.57,175.0
12900801178,4440,35,35,1.0,1,ok,26336.753000000004,168.0,26336.753000000004,168.0,26336.753000000004,168.0
