run_id,pr_number,changed_lines_mapped,status,coverable_changed_lines,random_energy_to_80cov_J,random_energy_to_90cov_J,random_energy_to_95cov_J,random_energy_to_100cov_J,greedy_cov_per_second_energy_to_80cov_J,greedy_cov_per_second_energy_to_90cov_J,greedy_cov_per_second_energy_to_95cov_J,greedy_cov_per_second_energy_to_100cov_J,greedy_cov_per_joule_energy_to_80cov_J,greedy_cov_per_joule_energy_to_90cov_J,greedy_cov_per_joule_energy_to_95cov_J,greedy_cov_per_joule_energy_to_100cov_J
16211592186,4653,19,ok,19,125432.56630000002,126238.59583333335,137058.5504666667,137058.5504666667,1252.8200000000002,1252.8200000000002,1389.5680000000002,1389.5680000000002,1252.8200000000002,1252.8200000000002,1389.5680000000002,1389.5680000000002
16211566915,4651,23,ok,23,331.26643333333334,10064.6977,71986.1153,71986.1153,120.406,120.406,120.406,120.406,120.406,120.406,120.406,120.406
16211550321,154,0,skip_no_changed_lines,0,,,,,,,,,,,,
16210796835,4653,19,ok,19,125432.56630000002,126238.59583333335,137058.5504666667,137058.5504666667,1252.8200000000002,1252.8200000000002,1389.5680000000002,1389.5680000000002,1252.8200000000002,1252.8200000000002,1389.5680000000002,1389.5680000000002
16210594513,4651,23,ok,23,331.26643333333334,10064.6977,71986.1153,71986.1153,120.406,120.406,120.406,120.406,120.406,120.406,120.406,120.406
16208900785,4651,23,ok,23,331.26643333333334,10064.6977,71986.1153,71986.1153,120.406,120.406,120.406,120.406,120.406,120.406,120.406,120.406
16208528263,4655,0,skip_no_changed_lines,0,,,,,,,,,,,,
16207365106,4615,1,ok,1,318.6656666666667,318.6656666666667,318.6656666666667,318.6656666666667,108.549,108.549,108.549,108.549,108.448,108.448,108.448,108.448
16207361620,4653,19,ok,19,125432.56630000002,126238.59583333335,137058.5504666667,137058.5504666667,1252.8200000000002,1252.8200000000002,1389.5680000000002,1389.5680000000002,1252.8200000000002,1252.8200000000002,1389.5680000000002,1389.5680000000002
16207048591,4653,19,ok,19,125432.56630000002,126238.59583333335,137058.5504666667,137058.5504666667,1252.8200000000002,1252.8200000000002,1389.5680000000002,1389.5680000000002,1252.8200000000002,1252.8200000000002,1389.5680000000002,1389.5680000000002
16206726524,4654,6,ok,6,22904.008199999997,32068.996733333333,32068.996733333333,32068.996733333333,120.831,120.831,120.831,120.831,120.831,120.831,120.831,120.831
16205460442,4653,19,ok,19,125432.56630000002,126238.59583333335,137058.5504666667,137058.5504666667,1252.8200000000002,1252.8200000000002,1389.5680000000002,1389.5680000000002,1252.8200000000002,1252.8200000000002,1389.5680000000002,1389.5680000000002
16204870935,4654,6,ok,6,22904.008199999997,32068.996733333333,32068.996733333333,32068.996733333333,120.831,120.831,120.831,120.831,120.831,120.831,120.831,120.831
16203996387,4653,19,ok,19,125432.56630000002,126238.59583333335,137058.5504666667,137058.5504666667,1252.8200000000002,1252.8200000000002,1389.5680000000002,1389.5680000000002,1252.8200000000002,1252.8200000000002,1389.5680000000002,1389.5680000000002
16203883518,4608,3,ok,3,,,,,,,,,,,,
16203678022,4653,19,ok,19,125432.56630000002,126238.59583333335,137058.5504666667,137058.5504666667,1252.8200000000002,1252.8200000000002,1389.5680000000002,1389.5680000000002,1252.8200000000002,1252.8200000000002,1389.5680000000002,1389.5680000000002
16192015466,4653,19,ok,19,125432.56630000002,126238.59583333335,137058.5504666667,137058.5504666667,1252.8200000000002,1252.8200000000002,1389.5680000000002,1389.5680000000002,1252.8200000000002,1252.8200000000002,1389.5680000000002,1389.5680000000002
16191692363,4651,23,ok,23,331.26643333333334,10064.6977,71986.1153,71986.1153,120.406,120.406,120.406,120.406,120.406,120.406,120.406,120.406
16189689284,4651,23,ok,23,331.26643333333334,10064.6977,71986.1153,71986.1153,120.406,120.406,120.406,120.406,120.406,120.406,120.406,120.406
16186575869,4651,23,ok,23,331.26643333333334,10064.6977,71986.1153,71986.1153,120.406,120.406,120.406,120.406,120.406,120.406,120.406,120.406
16184629335,4651,23,ok,23,331.26643333333334,10064.6977,71986.1153,71986.1153,120.406,120.406,120.406,120.406,120.406,120.406,120.406,120.406
16184618050,154,0,skip_no_changed_lines,0,,,,,,,,,,,,
16176013780,3261,67,ok,67,80397.3412,121510.30500000002,141123.97926666672,167391.26826666668,351.69,733.618,956.771,1435.894,351.69,848.077,956.764,1435.887
16174184863,4608,3,ok,3,,,,,,,,,,,,
16172520679,4650,29,ok,29,87916.08853333336,126318.84016666669,142620.78623333338,166634.29220000005,1500.6660000000002,3198.1130000000003,3827.161,4883.9349999999995,1831.9160000000002,3032.746,3827.161,4883.9349999999995
16172448274,154,0,skip_no_changed_lines,0,,,,,,,,,,,,
16172430907,4651,23,ok,23,331.26643333333334,10064.6977,71986.1153,71986.1153,120.406,120.406,120.406,120.406,120.406,120.406,120.406,120.406
